keys,es,en
Avanzar,Avanzar,Move forward
Retroceder,Retroceder,Move back
Izquierda,Izquierda,Move left
Derecha,Derecha,Move right
Mirar arriba,Mirar arriba,Look up
Mirar abajo,Mirar abajo,Look down
Mirar izquierda,Mirar izquierda,Look left
Mirar derecha,Mirar derecha,Look right
Correr,Correr,Sprint
Interactuar / levantarse,Interactuar / levantarse,Interact / stand up
Controlar personaje,Controlar personaje,Control character
Liberar ratón,Liberar ratón,Release pointer
Controles,Controles,Controls
Controles · F9,Controles · F9,Controls · F9
Configurar teclado y mando,Configurar teclado y mando,Configure keyboard and gamepad
Teclado y mando,Teclado y mando,Keyboard and gamepad
Volver,Volver,Back
Controlar personaje activa la cámara. Liberar ratón vuelve a menús. F9 siempre recupera este panel.,Controlar personaje activa la cámara. Liberar ratón vuelve a menús. F9 siempre recupera este panel.,Control character enables the camera. Release pointer returns to menus. F9 always reopens this panel.
Menús: cruceta y A; LB / RB cambia el foco. Los atajos de otras pantallas conservan sus teclas.,Menús: cruceta y A; LB / RB cambia el foco. Los atajos de otras pantallas conservan sus teclas.,Menus: D-pad and A; LB / RB changes focus. Other screens keep their existing keyboard shortcuts.
Idioma de controles,Idioma de controles,Controls language
Sensibilidad del ratón,Sensibilidad del ratón,Mouse sensitivity
Sensibilidad del mando,Sensibilidad del mando,Gamepad sensitivity
Zona muerta,Zona muerta,Deadzone
Mirada vertical,Mirada vertical,Vertical look
Invertir eje Y,Invertir eje Y,Invert Y axis
"Cada cambio se guarda al instante. Para intercambiar dos controles, asigna primero uno libre.","Cada cambio se guarda al instante. Para intercambiar dos controles, asigna primero uno libre.","Changes save immediately. To swap two bindings, assign an unused input first."
Acción,Acción,Action
Teclado,Teclado,Keyboard
Mando,Mando,Gamepad
Perfil de controles listo.,Perfil de controles listo.,Control profile ready.
Restaurar controles,Restaurar controles,Restore defaults
Cancelar asignación,Cancelar asignación,Cancel binding
Cámara y controles del personaje. La traducción de campaña y otras pantallas sigue pendiente.,Cámara y controles del personaje. La traducción de campaña y otras pantallas sigue pendiente.,Character controls and camera. Campaign and other screens are not translated yet.
Controles guardados.,Controles guardados.,Controls saved.
Controles restaurados.,Controles restaurados.,Defaults restored.
Asignación cancelada.,Asignación cancelada.,Binding cancelled.
Pulsa una tecla o entrada de mando. Escape cancela; espera 10 s para salir.,Pulsa una tecla o entrada de mando. Escape cancela; espera 10 s para salir.,Press a key or gamepad input. Escape cancels; wait 10 seconds to exit.
Formato de controles inválido.,Formato de controles inválido.,Invalid control profile.
Versión de controles incompatible.,Versión de controles incompatible.,Unsupported control profile version.
Idioma no válido.,Idioma no válido.,Invalid language.
Inversión no válida.,Inversión no válida.,Invalid inversion setting.
Ajuste fuera de límites.,Ajuste fuera de límites.,Setting is out of range.
Faltan acciones de entrada.,Faltan acciones de entrada.,Missing input actions.
Asignación no válida.,Asignación no válida.,Invalid binding.
Escape se reserva para salir.,Escape se reserva para salir.,Escape is reserved for leaving.
F9 se reserva para recuperar controles.,F9 se reserva para recuperar controles.,F9 is reserved for recovering controls.
Las teclas 1–8 se reservan para los puestos.,Las teclas 1–8 se reservan para los puestos.,Keys 1–8 are reserved for stations.
Tecla ya asignada.,Tecla ya asignada.,Key is already assigned.
Entrada de mando ya asignada.,Entrada de mando ya asignada.,Gamepad input is already assigned.
No se pudo leer el perfil de controles.,No se pudo leer el perfil de controles.,Could not read the control profile.
No se pudieron guardar los controles.,No se pudieron guardar los controles.,Could not save controls.
Botón %d,Botón %d,Button %d
